iter	Logloss
0	0.6782397514
1	0.6644767424
2	0.6539497675
3	0.6399302137
4	0.6290042289
5	0.6183065885
6	0.6055753891
7	0.5948647157
8	0.5818080917
9	0.5718805818
10	0.5603143799
11	0.550340925
12	0.5427764971
13	0.5314507153
14	0.5198726518
15	0.5094260219
16	0.4994126122
17	0.4896822616
18	0.4803261815
19	0.472513219
20	0.4657817972
21	0.4560268945
22	0.4473000967
23	0.4418441427
24	0.4335690338
25	0.4249786679
26	0.4177292501
27	0.4120513607
28	0.4042320461
29	0.3959758011
30	0.3878790032
31	0.380241898
32	0.3734305256
33	0.3668925713
34	0.3598311605
35	0.3523631455
36	0.3473759454
37	0.3418680358
38	0.335156195
39	0.330299526
40	0.3235311861
41	0.3173103511
42	0.3127112653
43	0.3078779891
44	0.3039328138
45	0.2981719845
46	0.2928717798
47	0.2874488858
48	0.2838060038
49	0.2784949349
50	0.273689642
51	0.268373364
52	0.2631216135
53	0.2584647195
54	0.2552446955
55	0.2508006144
56	0.2465428942
57	0.2425459544
58	0.2379683611
59	0.2350191849
60	0.2303443252
61	0.226839138
62	0.2234035991
63	0.2192738691
64	0.2159547492
65	0.2122876848
66	0.209452221
67	0.2063124344
68	0.2034714432
69	0.2006908794
70	0.1979163317
71	0.1942940326
72	0.191220146
73	0.188128399
74	0.1855218645
75	0.1833459111
76	0.1805406733
77	0.1770742393
78	0.1740228879
79	0.1720350095
80	0.1693194427
81	0.166910905
82	0.1643424378
83	0.16139929
84	0.1594778136
85	0.1567137577
86	0.1547287603
87	0.152860797
88	0.1510639855
89	0.1486007556
90	0.1462560141
91	0.1442071654
92	0.1417005105
93	0.1394521185
94	0.1370778476
95	0.1346452987
96	0.1329972847
97	0.131716382
98	0.1294198325
99	0.1277640581
100	0.1260804998
101	0.1242834812
102	0.1225884521
103	0.120992498
104	0.1193565387
105	0.1175457862
106	0.1158706617
107	0.1141498037
108	0.1125038755
109	0.1110930126
110	0.1095108092
111	0.1085137912
112	0.1073259538
113	0.1057824953
114	0.1046262918
115	0.1033864929
116	0.1017485413
117	0.1003190273
118	0.09922268349
119	0.09777197856
120	0.09658515044
121	0.09546710026
122	0.09417771012
123	0.09323767242
124	0.09197867641
125	0.09098595934
126	0.08991602487
127	0.08848896353
128	0.08748377665
129	0.0863907591
130	0.0851996532
131	0.08399550418
132	0.08284950087
133	0.08189838169
134	0.08088022066
135	0.07982403729
136	0.07876441477
137	0.07761926962
138	0.07669077729
139	0.07586725479
140	0.07527637771
141	0.07435396403
142	0.07337506354
143	0.07231749518
144	0.07167736926
145	0.07069947995
146	0.06965277741
147	0.06877115738
148	0.06810434138
149	0.06730374479
150	0.06643885684
151	0.06584487741
152	0.0649462382
153	0.06435131006
154	0.06341408689
155	0.06258950376
156	0.06196995792
157	0.061439483
158	0.06070850324
159	0.06010321641
160	0.05930040583
161	0.05875600739
162	0.05813563458
163	0.05736444707
164	0.05659820973
165	0.05607520065
166	0.05547366151
167	0.05480732306
168	0.05417797921
169	0.05358994328
170	0.05288297742
171	0.05227306225
172	0.05175658479
173	0.05114807156
174	0.05051607859
175	0.05004853675
176	0.04956660978
177	0.04901286401
178	0.04858799501
179	0.04803166316
180	0.04764352729
181	0.04725231142
182	0.04680977393
183	0.046223089
184	0.04576251507
185	0.04528161287
186	0.04490230275
187	0.04436389835
188	0.0438844367
189	0.04338670467
190	0.04305768953
191	0.04261473514
192	0.04208434537
193	0.04172622023
194	0.04126752663
195	0.04084683643
196	0.04049429098
197	0.04004472796
198	0.03966492691
199	0.03929569362
200	0.03900635358
201	0.03859643676
202	0.03823053186
203	0.03797068152
204	0.03770686408
205	0.03733406182
206	0.03696229931
207	0.03656838359
208	0.03622901367
209	0.03594856606
210	0.03552985258
211	0.03512341207
212	0.03478104786
213	0.03444100655
214	0.03418880225
215	0.03379346394
216	0.03343846103
217	0.033221421
218	0.03300001359
219	0.03278665706
220	0.03250889425
221	0.03216015178
222	0.03186519303
223	0.03161786452
224	0.03126938594
225	0.03093761529
226	0.03071836052
227	0.03039650716
228	0.03013733647
229	0.02988033886
230	0.02958459544
231	0.02928981634
232	0.02898433897
233	0.02873607164
234	0.02844711565
